Player,Team,Date,Type,Note
Lance Thomas\thomala01,New York Knicks,Mon Mar 19 2018,Personal,Thomas missed the previous game with a personal matter and it is uncertain if he will play Wednesday against the Heat.
Andre Roberson\roberan03,Oklahoma City Thunder,Sat Jan 27 2018,Knee,Roberson ruptured his left patellar tendon and will require surgery to repair the injury. He is expected to miss the remainder of the season.
Evan Fournier\fournev01,Orlando Magic,Thu Mar 8 2018,Knee,Fournier has a sprained left MCL and will miss an undetermined length of time.
Terrence Ross\rosste01,Orlando Magic,Wed Nov 29 2017,Knee,Ross sustained a sprained MCL and non-displaced fracture of the tibia plateau in his right knee and it is uncertain if he will return to the court by the end of March.
Jonathon Simmons\simmojo02,Orlando Magic,Mon Mar 19 2018,Wrist,Simmons was absent from the lineup during the previous game due to a right wrist contusion and it is undetermined if he will be available Thursday against the 76ers.
Timothe Luwawu-Cabarrot\luwawti01,Philadelphia 76ers,Tue Mar 13 2018,Knee,Luwawu-Cabarrot has sat out the last four games with tendinitis in his right knee and it is uncertain if he will suit up against the Grizzlies on Wednesday.
Devin Booker\bookede01,Phoenix Suns,Fri Mar 16 2018,Hand,Booker sat out his second-consecutive game with a sprained right hand and it is uncertain if he will suit up against the Cavaliers on Friday.
Tyson Chandler\chandty01,Phoenix Suns,Thu Mar 15 2018,Shoulder,Chandler has missed the last three games with shoulder and neck injuries leaving his status for Friday's contest against the Cavaliers clouded.
Brandon Knight\knighbr03,Phoenix Suns,Tue Jul 25 2017,Knee,Knight had surgery for a torn ACL and will miss the entire 2017-18 season.
TJ Warren\warretj01,Phoenix Suns,Sun Mar 18 2018,Knee,Warren was held out of the previous game with a sprained left knee and it is undetermined if he will play Friday against the Cavaliers.
Alan Williams\willial03,Phoenix Suns,Sat Sep 23 2017,Knee,Williams had surgery to repair a partial tear to the meniscus in his right knee and it is unclear if he will make his season debut Friday against the Cavaliers.
CJ Wilcox\wilcocj01,Portland Trail Blazers,Tue Oct 24 2017,Knee,Wilcox had right knee surgery and is rehabbing with the team's NBA G League affiliate. It is unknown when he will rejoin the lineup.
Iman Shumpert\shumpim01,Sacramento Kings,Thu Feb 8 2018,Foot,Shumpert is battling plantar fasciitis in his left foot and there is no timetable for recovery.
Kawhi Leonard\leonaka01,San Antonio Spurs,Mon Jan 15 2018,Quadricep,Leonard has been held out of action while recovering from tendinopathy in his right quadriceps and will not return against the Wizards on Wednesday.
DeMar DeRozan\derozde01,Toronto Raptors,Tue Mar 20 2018,Thigh,DeRozan was held out of the previous game due to a left thigh contusion and it is uncertain if he will be available Wednesday against the Nets.
Fred VanVleet\vanvlfr01,Toronto Raptors,Sun Mar 18 2018,Wrist,VanVleet has sat out the last two games with a right wrist contusion and it is unclear if he will play against the Nets on Wednesday.
Derrick Favors\favorde01,Utah Jazz,Mon Mar 19 2018,Knee,Favors was held out of the previous game due to soreness in his left knee and it is undetermined if he will be available against the Mavericks on Thursday.
Raul Neto\netora01,Utah Jazz,Mon Mar 12 2018,Wrist,Neto has been diagnosed with a fractured left wrist and will be reevaluated in two weeks.
Thabo Sefolosha\sefolth01,Utah Jazz,Fri Jan 12 2018,Knee,Sefolosha had season-ending surgery to repair an MCL injury to his right knee.
John Wall\walljo01,Washington Wizards,Sat Jan 27 2018,Knee,Wall is expected to miss six-to-eight weeks of action after having surgery on his left knee.
